,,loss,acc,val_loss,val_acc
ResNet101,15,0.1019358709454536,0.957886278629303,0.2231117039918899,0.9163089990615844
ResNet101,16,0.0743278935551643,0.9715664982795716,0.341813713312149,0.905579388141632
ResNet101,17,0.074125587940216,0.9712982773780824,0.4222390055656433,0.8744634985923767
ResNet101,18,0.0855818837881088,0.9672746658325196,0.3618294596672058,0.8798283338546753
ResNet101,19,0.0684572383761406,0.972371220588684,0.2727074325084686,0.9141631126403807
ResNet101,20,0.050060786306858,0.9804184436798096,0.3088114857673645,0.9109442234039308
Xception,1,0.5956184267997742,0.7432940006256104,0.5056459307670593,0.7918455004692078
Xception,2,0.4253354072570801,0.8237661123275757,0.4143025577068329,0.832617998123169
Xception,3,0.3853108882904053,0.8473712205886841,0.3854781687259674,0.8422746658325195
Xception,4,0.3208655416965484,0.8717811107635498,0.3682758808135986,0.8454935550689697
Xception,5,0.2830565273761749,0.8822425007820129,0.3722222149372101,0.8605149984359741
Xception,6,0.2627546191215515,0.8927038908004761,0.370553582906723,0.8594420552253723
Xception,7,0.2225772440433502,0.9122853875160216,0.3616057932376861,0.8626609444618225
Xception,8,0.2074635773897171,0.9149678349494934,0.3458302319049835,0.8733905553817749
Xception,9,0.187508076429367,0.9232832789421082,0.4033954739570617,0.8454935550689697
Xception,10,0.1792266815900802,0.9283798336982728,0.4123954176902771,0.8551502227783203
Xception,11,0.1525900810956955,0.9404506683349608,0.4489659965038299,0.8508583903312683
Xception,12,0.131656140089035,0.9466201663017272,0.4926075935363769,0.8369098901748657
Xception,13,0.1279901564121246,0.9493025541305542,0.4338953197002411,0.8583691120147705
Xception,14,0.1350721716880798,0.9479613900184632,0.4944411814212799,0.8422746658325195
Xception,15,0.0979226380586624,0.96378755569458,0.5243227481842041,0.8444206118583679
Xception,16,0.0864847153425216,0.9656652212142944,0.4839936196804046,0.8562231659889221
Xception,17,0.0585335157811641,0.9820278882980348,0.5287514925003052,0.8530042767524719
Xception,18,0.0698395892977714,0.9742489457130432,0.6084855794906616,0.8422746658325195
Xception,19,0.0577745251357555,0.979882001876831,0.5035726428031921,0.8583691120147705
Xception,20,0.0893277823925018,0.9662017226219176,0.5643166303634644,0.8401287794113159
InceptionV3,1,0.6930000185966492,0.6944742202758789,0.5142481923103333,0.795064389705658
InceptionV3,2,0.4720954000949859,0.8041845560073853,0.4528477787971496,0.8208154439926147
InceptionV3,3,0.4132781028747558,0.8302038908004761,0.5455548763275146,0.795064389705658
InceptionV3,4,0.3802682757377624,0.8476395010948181,0.4703076183795929,0.8197425007820129
InceptionV3,5,0.3385722935199737,0.8658798336982727,0.3722151219844818,0.8497853875160217
InceptionV3,6,0.3409689366817474,0.8567596673965454,0.3707168102264404,0.8690987229347229
InceptionV3,7,0.2861639261245727,0.8918991684913635,0.4940803647041321,0.8143776655197144
InceptionV3,8,0.2757817208766937,0.8854613900184631,0.4677452445030212,0.8154506683349609
InceptionV3,9,0.2970946729183197,0.8774141669273376,0.4593868851661682,0.8143776655197144
InceptionV3,10,0.2827320396900177,0.8865343332290649,0.7717588543891907,0.7070815563201904
InceptionV3,11,0.2508086264133453,0.90128755569458,0.4874188303947449,0.8229613900184631
InceptionV3,12,0.2343244403600692,0.905847668647766,0.3909172415733337,0.8594420552253723
InceptionV3,13,0.2055103480815887,0.9165772795677184,0.6028181910514832,0.8165236115455627
InceptionV3,14,0.2007369697093963,0.9206008315086364,0.421586811542511,0.8583691120147705
InceptionV3,15,0.1895377188920974,0.9219420552253724,0.5710510015487671,0.8100858330726624
InceptionV3,16,0.1716955155134201,0.9326716661453248,0.4809328913688659,0.8422746658325195
InceptionV3,17,0.1779966056346893,0.9281116127967834,0.8004268407821655,0.774678111076355
InceptionV3,18,0.1665854156017303,0.9342811107635498,0.5713672637939453,0.832617998123169
InceptionV3,19,0.1600533127784729,0.9313304424285888,0.4999040961265564,0.8583691120147705
InceptionV3,20,0.144772931933403,0.9458154439926147,0.4732716083526611,0.8283261656761169
