,,loss,acc,val_loss,val_acc
Linear1,1,2.9513423442840576,0.6059549450874329,0.6994859576225281,0.7274678349494934
Linear1,2,0.7007608413696289,0.7019850015640259,0.6727038025856018,0.6942059993743896
Linear1,3,0.6346619725227356,0.7398068904876709,0.6292150020599365,0.7371244430541992
Linear1,4,0.5696336030960083,0.7655579447746277,0.5941022634506226,0.7618025541305542
Linear1,5,0.5247787237167358,0.7781652212142944,0.5878379344940186,0.7607296109199524
Linear1,6,0.5125489234924316,0.7886266112327576,0.6124405860900879,0.754291832447052
Linear1,7,0.4537702798843384,0.8178648352622986,0.5863897204399109,0.7768240571022034
Linear1,8,0.435946375131607,0.8224248886108398,0.6798002123832703,0.733905553817749
Linear1,9,0.4002610445022583,0.8344957232475281,0.629492998123169,0.741416335105896
Linear1,10,0.3571557402610779,0.8540772795677185,0.7162509560585022,0.745708167552948
Linear1,11,0.3209530115127563,0.8666845560073853,0.6953319907188416,0.75
Linear1,12,0.2903541624546051,0.8825107216835022,0.7938200235366821,0.7521459460258484
Linear1,13,0.2661016881465912,0.8969957232475281,0.8048465847969055,0.7135193347930908
Linear1,14,0.230075791478157,0.915504276752472,0.8266673684120178,0.7360514998435974
Linear1,15,0.2216362357139587,0.921405553817749,0.826716423034668,0.7285407781600952
Linear1,16,0.1819235682487487,0.9345493316650392,1.0423808097839355,0.7381974458694458
Linear1,17,0.1538355201482772,0.946083664894104,1.0722613334655762,0.741416335105896
Linear1,18,0.1551001667976379,0.9383047223091124,1.0490998029708862,0.7403433322906494
Linear1,19,0.1386835426092147,0.9487661123275756,1.1577064990997314,0.7199570536613464
Linear1,20,0.1310417205095291,0.951985001564026,0.9800060987472534,0.7403433322906494
Linear2,1,1.437599539756775,0.5831544995307922,0.7517422437667847,0.70064377784729
Linear2,2,0.7564877271652222,0.6738197207450867,0.6746905446052551,0.7113733887672424
Linear2,3,0.6790681481361389,0.7175429463386536,0.731574535369873,0.6974248886108398
Linear2,4,0.6428844332695007,0.725321888923645,0.6468624472618103,0.7328326106071472
Linear2,5,0.599299430847168,0.7559012770652771,0.6225998997688293,0.75
Linear2,6,0.5526223182678223,0.7738733887672424,0.5936917066574097,0.7575107216835022
Linear2,7,0.4991282522678375,0.7945278882980347,0.6476606130599976,0.7263948321342468
Linear2,8,0.5043449401855469,0.7910407781600952,0.6024174690246582,0.754291832447052
Linear2,9,0.4477899372577667,0.817060112953186,0.6015905141830444,0.766094446182251
Linear2,10,0.416504293680191,0.8275214433670044,0.565412163734436,0.774678111076355
Linear2,11,0.3836147785186767,0.8430793881416321,0.5698176026344299,0.7778970003128052
Linear2,12,0.3565232455730438,0.8581008315086365,0.666088342666626,0.7349785566329956
Linear2,13,0.3287681937217712,0.8674892783164978,0.6476637125015259,0.7607296109199524
Linear2,14,0.2955902814865112,0.8827789425849915,0.6841269135475159,0.7435622215270996
Linear2,15,0.2896245419979095,0.8846566677093506,0.7091240882873535,0.7639485001564026
Linear2,16,0.248863860964775,0.9061158895492554,0.6534682512283325,0.7821888327598572
Linear2,17,0.2293678969144821,0.91443133354187,0.7735097408294678,0.75
Linear2,18,0.232137382030487,0.9136266112327576,0.6682804226875305,0.778969943523407
Linear2,19,0.2168241292238235,0.917113721370697,0.7967389225959778,0.7467811107635498
Linear2,20,0.1810319721698761,0.928916335105896,0.819593608379364,0.7306867241859436
Linear3,1,2.539160966873169,0.5697425007820129,0.8348687291145325,0.6491416096687317
Linear3,2,0.7699464559555054,0.6692596673965454,0.7994143962860107,0.6598712205886841
Linear3,3,0.678690493106842,0.7070815563201904,0.7867832183837891,0.6598712205886841
Linear3,4,0.5935118794441223,0.7534871101379395,0.7288334369659424,0.6931330561637878
Linear3,5,0.4963139295578003,0.807939887046814,0.7256584763526917,0.6984978318214417
Linear3,6,0.4363853931427002,0.8237661123275757,0.8175925016403198,0.6695278882980347
Linear3,7,0.3706514537334442,0.8535407781600952,0.8036154508590698,0.6641631126403809
Linear3,8,0.2879834175109863,0.8897532224655151,0.8927704095840454,0.6759656667709351
Linear3,9,0.234583780169487,0.9130901098251344,0.9974200129508972,0.6598712205886841
Linear3,10,0.1826426386833191,0.9294527769088744,1.1164153814315796,0.6791845560073853
Linear3,11,0.1753167808055877,0.9337446093559264,1.0232090950012207,0.6630901098251343
Linear3,12,0.1330610066652298,0.953594446182251,1.1999517679214478,0.6759656667709351
Linear3,13,0.108659490942955,0.9643240571022034,1.3030470609664917,0.6459227204322815
Linear3,14,0.1029209792613983,0.9624463319778442,1.4625920057296753,0.6480686664581299
Linear3,15,0.0803122371435165,0.9704935550689696,1.4388511180877686,0.6459227204322815
Linear3,16,0.1152939945459365,0.959495723247528,1.4972047805786133,0.6609442234039307
Linear3,17,0.0954205095767974,0.968079388141632,1.466680645942688,0.6555793881416321
